1,2,3,4,5,6,7,8,9,10,11,12,13
Panait Ioniță,panaitioniță,panaitioniță@post.ro,2820308286328,1941-05-19,"Soseaua Diaconescu Nr. 929 Bl. 10  Sc. 34 Ap. 296, Sabaoani, 685371",0730 119 409,02:e2:cd:64:4c:bd,55.245.131.26,RO73LTHV6323318016886807,2024-04-27 04:20:09,903,610
Relu Eftimie,relueftimie,relueftimie@gmail.com,7020514139832,1910-01-05,"Soseaua Popescu Nr. 34, Barbulesti, 987143",0237 610 719,06:2d:95:a8:f4:dc,149.83.54.145,RO89QHZA0808989075033289,2024-04-13 01:08:52,690,595
Sava Albu,savaalbu,savaalbu@141.ro,4420516160286,1945-11-06,"Bulevardul Stoica Nr. 50 Bl. 29  Sc. 31 Ap. 407, Urlati, 963701",0241 690 336,86:9a:27:fe:bf:53,107.216.222.115,RO65IOES8919174580799510,2023-09-20 21:31:18,730,731
Avram Oprea,avramoprea,avramoprea@acasa.ro,1380914060309,1964-12-05,"Strada Nora Pușcașu Nr. 79, Sadova, 793112",0264 239 272,7e:ab:5b:bb:13:ed,166.214.216.161,RO36JMAO5657305251699693,2024-06-07 01:03:07,921,479
Adelina Dima,adelinadima,adelinadima@gmail.com,7940927159265,1989-04-15,"Bulevardul Tabacu Nr. 26, Fundulea, 402471",0733 025 239,3a:a9:81:53:1e:ee,118.39.28.187,RO61QOBT3269037825838115,2024-04-30 06:31:49,996,9
Alma Gheorghiu,almagheorghiu,almagheorghiu@acasa.ro,4300526422041,1957-08-18,"Drumul Dochioiu, Prejmer, 791346",0247 278 371,8a:77:cc:d1:b9:e3,31.233.245.235,RO28VALU1918349531288845,2024-01-08 02:35:50,149,647
Virginia Tudor,virginiatudor,virginiatudor@kappa.ro,6290612512274,2023-02-27,"Strada Zamfir Cristea Nr. 414, Ploiesti, 827406",0735 410 743,ae:9f:c3:d1:b8:1a,167.113.46.62,RO80DEQT0898819369021431,2024-07-02 03:28:36,658,45
Iuliana Cristea,iulianacristea,iulianacristea@kappa.ro,7290624188651,1996-02-01,"Soseaua Ionescu, Draganesti-Olt, 774473",0734 458 086,3c:26:98:7c:2a:32,114.157.153.232,RO29DPWA9148322821752291,2023-11-04 08:36:06,585,267
Veronica Dinu,veronicadinu,veronicadinu@acasa.ro,5000802296288,1978-06-01,"Soseaua Voinea Nr. 83, Dragalina, 210235",0745 655 689,3a:25:e1:69:7c:e4,3.11.203.243,RO45AEPG8557135248534269,2023-12-15 16:04:01,881,741
Ramona Pușcașu,ramonapușcașu,ramonapușcașu@email.ro,4861029163374,1922-03-23,"Soseaua Florea Nr. 37, Buzau, 627957",0758 084 347,de:f4:37:ff:c5:60,52.251.196.220,RO47EQEE8950941043362861,2023-09-30 15:17:38,430,579
