person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Costache Dima,costachedima,costachedima@email.ro,2260915133704,1961-08-30,"Intrarea Florea Nr. 682 Bl. 50  Sc. 17 Ap. 393, Cernavoda, 389586",0786 645 539,38:f9:7c:b3:d5:88,63.138.125.200,RO16EZML5644748904109718,2024-09-14 12:04:17,31554,750,40,166472,ad83e50d-da9c-44b2-9019-59a2efa4d812
Leontin Suciu,leontinsuciu,leontinsuciu@zzup.ro,4091201412925,1923-07-22,"Aleea Ionescu Nr. 851, Curtici, 748095",0249 724 717,30:ce:40:64:e7:d6,179.7.205.239,RO88GWZN0391548765252667,2024-09-14 12:04:17,1760,993,384,730959,547f539e-f329-4aa5-ac1d-f5bf799a854e
Hortensia Dinu,hortensiadinu,hortensiadinu@gmail.com,5670312458954,1997-07-18,"Bulevardul Draga Tudor Nr. 320, Deta, 859844",0235 995 283,ea:7d:67:83:34:b5,192.85.68.69,RO62YBAC6429124581112737,2024-09-14 12:04:17,10360,723,623,506786,960b85a2-b3b0-4647-83f1-dc89d68e1e68
Estera Dinu,esteradinu,esteradinu@gmail.com,5390708341282,1980-10-10,"Drumul Elena Tomescu, Valea lui Mihai, 716787",0752 204 232,7c:f0:27:e2:97:c3,57.86.255.19,RO94IDED0818915256267146,2024-09-14 12:04:17,22904,263,18,1969002,0de3c7e8-e556-43d6-be5e-690d4bfa072d
Angel Mocanu,angelmocanu,angelmocanu@kappa.ro,5780220413287,2018-01-22,"Soseaua Petruța Mazilescu Nr. 997 Bl. 47  Sc. 67 Ap. 192, Rosiori de Vede, 703435",0262 087 917,aa:f2:25:8e:0b:3c,145.238.137.192,RO93IGRS2089806011774617,2024-09-14 12:04:17,13132,393,215,534161,a0e9a93f-985d-4571-9895-c82b8ef10399
Adelin Toma,adelintoma,adelintoma@zzup.ro,4290615231729,1961-10-10,"Soseaua Florea Nr. 36 Bl. 12  Sc. 49 Ap. 560, Pancota, 388654",0747 516 510,28:55:2a:67:d4:17,131.175.153.153,RO59ROZO5761051469355534,2024-09-14 12:04:17,714,741,659,1142718,8d95f2fe-132b-44c7-8f1f-a077a46f7733
Alida Niță,alidaniță,alidaniță@kappa.ro,3050130072546,2016-06-15,"Drumul Pop, Tarnaveni, 724172",0786 974 715,0a:e6:57:91:94:2c,16.33.10.3,RO08RXOV7307841406061821,2024-09-14 12:04:17,8528,583,198,824963,f8d1c28e-ecfc-4bd4-a04a-453eca7c8e61
Veniamin Cristea,veniamincristea,veniamincristea@acasa.ro,1300327184432,2001-04-09,"Intrarea Suciu, Fagetel (Remetea), 178310",0750 747 457,74:14:2b:fe:e4:15,177.132.154.154,RO93FEEZ7957423185294642,2024-09-14 12:04:17,11963,318,343,1244278,53e33399-3e0d-4df3-9fe1-c50836ba3b11
Filofteia Mocanu,filofteiamocanu,filofteiamocanu@acasa.ro,6930722026051,1952-01-30,"Strada Preda Nr. 209 Bl. 90  Sc. 92 Ap. 164, Reghin, 408220",0246 119 367,a8:45:42:b8:2d:3c,11.220.114.107,RO92FYOW6960186702996142,2024-09-14 12:04:17,35574,146,513,1950869,7a948d51-31bf-40d3-8e01-3418603dcd6b
Filip Popescu,filippopescu,filippopescu@zzup.ro,2480223341962,1960-07-07,"Aleea Voinea Nr. 12, Negresti, 636201",0267 707 463,06:5e:53:5b:19:dc,144.56.65.51,RO66CBRB3759007787540209,2024-09-14 12:04:17,4909,678,797,193999,de0b2b71-328a-4742-9075-aff4afaf6113
Lidia Tabacu,lidiatabacu,lidiatabacu@post.ro,4040429287342,2008-09-25,"Soseaua Eftimie Nr. 384 Bl. 85  Sc. 99 Ap. 199, Odobesti, 839806",0762 312 600,bc:7a:e0:45:30:51,151.192.188.216,RO98HDFE0185925104427880,2024-09-14 12:04:17,6301,557,479,1329226,a7389f87-2fd6-428e-ab39-e915cdf79a19
Olga Ioniță,olgaioniță,olgaioniță@post.ro,6821105380922,1922-12-05,"Bulevardul Manole, Cudalbi, 301908",0732 210 295,3c:a9:52:9f:6f:61,143.29.188.243,RO22PUKB3424532926040456,2024-09-14 12:04:17,13398,100,560,1391659,2921fdff-8189-43a8-bf0c-c0e97bb699e3
